price_main,title,rooms,area,floor,building_type,materials,year,district
2795900 грн,"вул. Потєхіна, 6",2 кімнати,45 / 28 / 9 м²,поверх 5 з 9,спец. проект,цегляний будинок,1970,Голосіїво
16852000 грн,"вул. Ломоносова, 73в",4 кімнати,162 / 97 / 16 м²,поверх 4 з 10,спец. проект,монолітно-каркасний,2010,Голосіїво
2642700 грн,"вул. Максимовича, 32а",1 кімната,50 / 30 / 20 м²,поверх 15 з 25,спец. проект,монолітно-каркасний,2021,Голосіїво
3830000 грн,"вул. Ломоносова, 36в",3 кімнати,82 / 44 / 12 м²,поверх 19 з 25,спец. проект,панельні,2018,Голосіїво
2412900 грн,"вул. Максимовича, 26",1 кімната,41 / 26 / 15 м²,поверх 11 з 21,спец. проект,цегляний будинок,2018,Голосіїво
4519400 грн,"вул. Максимовича, 26",1 кімната,44 / 18 / 14 м²,поверх 4 з 16,спец. проект,цегляний будинок,2018,Голосіїво
2259700 грн,"просп. Голосіївський, 108/1",2 кімнати,50 / 30 / 6 м²,поверх 1 з 12,спец. проект,цегляний будинок,1966,Голосіїво
2259700 грн,"просп. Голосіївський, 108/1",2 кімнати,44 / 26 / 7.5 м²,поверх 6 з 9,спец. проект,цегляний будинок,1966,Голосіїво
3600200 грн,"вул. Максимовича, 26",2 кімнати,60 / 30 / 18 м²,поверх 7 з 21,спец. проект,цегляний будинок,2018,Голосіїво
6702500 грн,"вул. Максимовича, 32а",3 кімнати,75 / 24 / 33 м²,поверх 23 з 23,спец. проект,монолітно-каркасний,2021,Голосіїво
2068200 грн,"вул. Максимовича, 26",1 кімната,30 / 15 / 7 м²,поверх 9 з 19,спец. проект,цегляний будинок,2018,Голосіїво
2278850 грн,"вул. Максимовича, 26",1 кімната,41 / 15 / 18 м²,поверх 5 з 21,спец. проект,цегляний будинок,2018,Голосіїво
5936500 грн,"вул. Максимовича, 3г",3 кімнати,122 / 68 / 19 м²,поверх 10 з 23,спец. проект,монолітно-каркасний,2012,Голосіїво
2489500 грн,"вул. Васильківська, 47",2 кімнати,40 / 28 / 6 м²,поверх 5 з 5,хрущівка,панельні,1962,Голосіїво
4213000 грн,"вул. Максимовича, 26",1 кімната,40 / 25 / 12 м²,поверх 11 з 16,спец. проект,цегляний будинок,2018,Голосіїво
4213000 грн,"вул. Максимовича, 26",1 кімната,38 / 12 / 17 м²,поверх 10 з 19,спец. проект,цегляний будинок,2018,Голосіїво
